	Мария Грипе
	Нағыз өмір деген сонда қандай болады? Ол өзінің жақын арада мектепке баратынына мүлдем разы емес. Оны не күтіп тұр онда? Сеңдей соғылысқан мұғалім, топырлаған балалар және барлығының бірдей тектен-текке жамырасып у-шу болатындарын қайтерсің. Мұндайда адам іспен қайтіп шұғылданбақ!

	Папасы мен мамасы ояна қойса екен енді... Эльвис олардың тыныс-деміне құлағын түреді. Әке-шешесінің ұйқыдан ояна бастаған кездегі алатын дем-тынысының бүге-шігесіне дейін біліп алғанды. Папасының әдетте мұрны пысылдайды және аз-кем қорылдап қояды. Ал мамасы қатарынан әлденеше рет есінеп-есінеп алады да, артынша тым-тырыс бола қалады. Сәлден кейін ұзақ, терең, әрі аса көңілсіз күрсінісі естіледі. Ұйқыдан оянуды мамасының жаны сүймейді. Мұның есесіне ұйқыдан тез сергігенді папасы жақсы көреді. Бірақ, тек жексенбі күні, әлгі сол уақыт өлтіруден соң емес, әрине.

	Ұйықтап жатқанда ғана тәп-тәуір бала болғанымен, Эльвис те таңертеңгілікте ертерек оянғанды жек көрмейді.

	— Эльвис, сен ұйықтаған мезгіліңде ғана жақсысың. Кереуетіңде жатқанда кәдімгідей балаға ұқсайсың.Мұны айтатын мамасы.

	Tап қазір мызғып алған да жаман болмас еді. Кереуетте бұлайша сарылып күтіп отырмас едің ғой. Көңілді ештемесі жоқ. Жексенбі түгелдей құрып барады. Ал өйтпегенде жексенбінің ең көңілді күнінің бірі болары анық-ты. Тек әке-шешеңді оятып алмай, еппен жылыстап шығып кете алсаң ғой, шіркін! Түске шейін содан соң не істеймін десең де, ерік өзіңде. Бірақ бұған көңілі дауаламайды. Оларды оятып алса, мұның сазайы дайын. Осы бір уақыт өлтіруден соң папасы мен мамасы әдетте ашушаң.

	Мамасының ұйқысы өте сергек. Еденге бір аяғыңды түсірдім дегенше, оны оянды дей бер. Сол бойда, шешесінің даусы естілісімен ас үй жақтан Сессан арп-арп үреді. Бұдан соң, әрине, әкесі оянады да, жұрттың бәріне ұрыса бастайды. «Осы үйде адамға тыныштық қашан болар екен?!»— деп айқайға басады ол. Онда барлығы бүлінді дей бер. Бұл күннің берекесі кетеді. Сондықтан отыр да, олардың оянуын күт. Күте түс...

	Эльвис мамасының журналын парақтайды. Бұнда ылғи бір ересек адамдардың суреттері, балалар мүлдем жоқ. Бүткіл журналдың ішінде жалғыз-ақ балақайдың суреті бар, оның өзі де кәдуілгідей емес. Мұны атасы да байқаған. Бұл балақай суретке әншейін толымды көрініс беру үшін қажет болған,— дейді атасы. Сөйткенде ғана нәрестені қолына алып отырған әйелдің кейпі сүйкімдірек көрінеді екен. Баланың өзін жұртқа көрсетуді ешкім де бұл арада мақсат етпеген. Эльвис тым құрығанда бұл қажетке де жарамайды. Егер мамасы мұнымен бірге суретке түсетіндей болса, ештеңе де ұтпайды. Мамасы өзі суретке түсетін кезде маңына жуытпайды, өйткені суретке бұл сұмдық сұрықсыз болып шығады. Ал бұған бәрібір.

	Эльвис қолына қара бордың құйттай сынығын алып, журналдағы адамдардың бет-жүздерінің орнына қап-қара ғып төртбұрыштар салды. Тек балақайдың ғана бетін ашық қалдырды. Және сәби айналасына дұрысырақ, жақсырақ қарауы үшін қайта оның көздерін анықтау етіп бояп қойды.

	Ой, журналды бүлдіргені үшін мамасы аяқ астынан қазір дүрсе қоя берсе қайтпек?.. «Осының барлығы құдай алдындағы күнәларыма берілген жаза»,— деп күйінеді ол әдетте мұндайда. Оның ойынша, Эльвис әлдебір кездерде, бұл жарық дүниеге келместен әлдеқайда бұрын жасаған әлдебір күнәлары үшін құдайдың өзіне жіберген жазасы-мыс. Күнәға бататын іс істеп қойғаныңда артынан жазасы маңдайыңа тақ етіп тиер ме екен деп ылғи да ойланып, уайым шегіп жүретінің де сондықтан.

	Жазаңды алудан қиямет нәрсе жоқ. Эльвис бірде ас үйдегі диванның үстінде секіріп ойнаймын деп оны қиратып тастаған. Сол үшін ол өз аяғын өзі ұрып, өзін-өзі жазалағаны бар. Ал мұны туған кезде мамасы да сұмдық қиналса керек-ті. Сол себепті де бұдан былай бала тапқым келмейді деген. Бұны мамасы әлдебір күні телефонмен біреуге айтқан болатын. Эльвистің бір өзі де оған жетіп жатыр. Біреуге күнәсі үшін жаза ретінде жіберілгеніңді сезініп жүру оншалықты қолайлы да емес. Әрине, Эльвистің қазір бұған көңілі аса бұрынғыдай бұзылмайтын болды. Өйткені бұл сөзді шектен тыс көп естіп жүр.

	Ал жалпы мұны — Эльвисті ойлап тапқан кім екенін біліп алған жаман болмас еді. Ол бірақ бұл сауалына ылғи да түрліше жауап естиді. Мамасы бұған кінәлі өзім, түйсіксіз болғандығымнан дейді. Ал кейде: «Папаңнан болды бәрі...» — деп қояды. Сондағы Эльвистің таңданғанын көрсең. Папасы әрқашан тек қана пайдалы нәрселерді ойлап табатын. Тым құрыса футбол да ойнай алмайтын мұндай Эльвистің оған қандай қажеті бола қойды екен.

	Тағы бірде бірақ мамасы басқаша айтты. Ол Эльвисті өзіне құдай берген деді. Мұны естігенде Эльвис кәдімгідей шошып кетті. Өйткені құдайдан жаза алудан асқан сұмдық нәрсе жоқ қой. Мұны телевизордан да көрген. Соғыстар мен әрқилы қасіреттерді кұдай жібереді. Телевизордан әрдайым сондай үрейлі бірдеңелерді көрсетіп жатқанда мамасы: «Бұл—құдайдың адамдарды жазалағысы келгендігісі»—деп отырады. Әжесі де солай дейді. Сондықтан да, міне, егер Эльвисті мамасына құдай жіберген болса, әрине, шаруа қиын. Мұндай жағдайда мамасына шынында да аяныш білдіруге болады.

	─ Рас, бұл сұмдық екен,— деген ол бірде мамасы мұның үстінен шағым айтқанда.

	Эльвис мұны, папасы айтпақшы, әңгімені қолдау үшін айта салған. Мамасы бетіне шапалақпен сарт еткізді, Эльвиске де есе қайтаруға тура келді. Өйткені, демек, мамасын қолдауға да, жұбатуға да болмайды екен. Тіпті не істеріңді де білмейсің. Мамасы барлық болған жағдайды айтып бергеннен кейін әкесі сондай бір азалы үнмен:

	— Сен өз шешеңе қол жұмсадың ба? — деді. Жалпы әкесі Эльвистің осылай есе қайтарған кезінде болмаса, еш уақытта мұның мамасын «шеше» деп атаған емес.

	Соққы жеп алып, есе қайтармайтын балалар болады. Олар еңіреп жылағаннан басқа түк бітірмейді. Ал Эльвис жыламайды: есе қайтарысады. Сөйткенмен де, мамасына қол көтерудің сұмдық нәрсе екенін біледі, бірақ өзін-өзі ұстай алмай қалатын дағдысы бар. Шешесіне қол көтеруден өткен масқара нәрсе жоқ. Эльвис мұны түсінеді. Мамалар өз балаларын ұруға хақылы, ал балаларының есе қайтаруға хақысы жоқ. Мұндай жағдайда «мамаң» аяқ астынан «шеше» болып шыға келеді де, масқара боласың...

	Ал атасы, өзін ұрып жатқанда бала қорғануы керек дейді. Мамасы төбелесті өзі бастаған екен, өзі тартсын сазайын. Бірақ бұлайша кесіп-пішетін тек атасы ғой. Атасының айтқандарына, өкінішке орай, мамасы тіпті де көңіл аудармайды. Мамасы тек қана өзінің құрбыларын, күн сайын телефонмен мылжыңдасатын әлгі бір Мая, Карин және Ингрид тәтейлерді ғана тыңдайды. Бұлар не айтса да — ол үшін бұлжымас заң. Ол әлгілерге Эльвис жайлы айтады. Және олар әр уақытта мұнымен бала тәрбиесі жайлы ойларын бөлісіп жатады. Олардың балалары Эльвистей жаман емес, кәдуілгідей-ақ балалар.

	Жалғыз Эльвис қана ешкімге ұқсамаған. Ол біткен адам. Оны ештеңеге де үйрете алмайсың. Дегенмен де, мамасынан кешірім сұрауды ол ұмытпайтын. Тіпті, өз өмірінде жасаған болмашы бір ақымақтықтары үшін де кешірім сұрап жататын. Кешірім сұрамайынша, мамасының ашуы тарқамайды. Кейде шектен тыс тентектік жасап қоятындығы да рас.

	Тек түсініксіз бір жайт бар. Эльвистің кейде шектен шығып кеткен кезінде мамасы ашу шақырмайтын, кенеттен қайта мейірбанды бола қалатын. Қазір, міне, сыбағамды береді деп ойлайды ол. Ал мамасы мұның орнына оған балмұздаққа деп ақша береді. Мұның бұзақы қылығын мүлде байқамаған адам сияқтанады. Енді бірде жазықсыздан-жазықсыз тоқпақтың астында қаласың. Ештеңеге де түсініп болмайсың. Мамасының мейірімді сәтінде Эльвис өзінің оған күнәлары үшін жаза ретінде жіберілгеніне опынады.

	...Ұйықтап жатқан папасы мен мамасына ол тағы да қарап қояды. Ешқайсысының да қыбыр етер түрі жоқ. Тым болмаса әкесінің дәретханаға барғысы келсейші! Бұлай да болады, папасы тұрады да дәретхана жаққа кетеді. Міне, осы мезетте оны-мұны керек-жарақ заттарыңды ұстай-мұстай дәлізге атып шығып, бір бұрышта тасалана тұруға болады. Әдетте бұл әрекет ойдағыдай жүзеге асады: Өйткені папасы ұйқысынан толық оянбай, қалғып-шұлғып келе жатады да, ештеңені байқамайды. Қайтып келіп, сол бойда кереуетіне сылқ құлайды. Ал мамасы ояна қоймайды. Эльвистің зып беріп шығып кеткенін ешкім де сезбей қалады. Сессанның ас үй жақтан арпылдап үре бастағанын мамасы папасының далаға шығып келгеніне жориды да қояды. Жол болды деген осы! Бұдан соң мамасы терезеден басын қылтитып, мұны үйге шақырғанша жарты күн бойы қаңғуылдауға болады.

	Бүгін, бірақ, Эльвистің жолы болмай отыр. Тіпті телефонның да безілдемейтінін қайтерсің. Мүмкін олар бұны желісінен әдейі ағытып қойған шығар. Әйтпесе бұларды ұйқысынан телефонның да оятып жіберетіні бар. Мұның арты, шынын айту керек, кейде жақсылыққа соқпайды. Әке-шешесі кәдімгідей реніш білдірісіп, телефонның трубкасын көтеруге бір-бірін жұмсайды. Бірақ жалпы мамасының құрбылары, әлгі бір телефоннан түспейтін тәтейлер папасының жексенбіде үйде болатынын біледі де, әдетте бұл күні олар сиректеу телефон соғады.

	Бүгін тіпті футбол да жоқ болар. Папасы одан еш уақытта қалмайды. Осы футболдың бір пайдасы — соған бола ол кейбір жексенбіде ұйқысынан ертерек тұратын. Папасы футбол ойнайды. Футбол ойнауға ұлын да баулығысы келген. Эльвис онымен бірге футбол матчтарына баратын. Әкесі өзі ойнайтын және ойнамай, әшейін жанкүйер боп трибунада отыратын күндерінде де оны жанынан тастамайтын. Папасы жалықпай-талмай Эльвиске ойынның тәртібін де, қалай ойнау керектігін де үйрететін. Егер шын ынталанса, ол бұған футбол добын да сатып әпермекші болған. Бірақ бұдан ештеме шықпады. Эльвиске футбол ойнау дегенің ұнамай-ақ қойды.

	─ Әлі кішкентайлығынан болар,— деп ақтайды оны мамасы.

	Папасы осындай жасында-ақ жұрт өзін болашағынан үлкен үміт күттіретін футболшы деп танығанын айтты. Ол мектепке бармаған кезінің өзінде-ақ болашағынан үлкен үміт күттіретін бала болған. Ал Эльвис жайлы бұлай айта алмайсың.

	─ Біздің жігітімізден футболшы шықпайды, — дейді папасы.

	Оның үнінен өкініш байқалады. Папасы әрдайым газет, радио-теледидар арқылы спорт әлемін жіті бақылап, біліп отырады. Мұндай минуттарда мамасы оған бөгет жасамайды. Эльвис те солай. Спорттың маңызды нәрсе екенін екеуі де түсінеді.

	Соңғы кездері папасы Эльвисті спорттық программа көрсетіп жатқанда теледидар алдына, өзінің қасына отырғызып қоятын болып жүр. Мүмкін кенеттен Эльвиске спорттың бір түрі болмаса, бір түрі ұнап қалар деп ойлайтын болса керек ол. Сондықтан да шығар, теледидар экранында көрсетіп жатқандарды ылғи да оған ұғындырумен болады. Мұндайда Эльвис үнсіз тыңдап отырады да, «иә» немесе «жоқ» деп, ыңғайсыз жағдайда қалмас үшін қысқа ғана жауаптармен мақұлдаған болады. Бірақ әлі күнге шейін өзіне ыңғайлы бірде-бір спорт түрін таңдай алмай келеді.

	— Бұл жігіттен спортшы шықпайды екен, — дейді папасы. — Жалпы осыдан өзі бірдеме шыға қояр ма екен? Бұл тіпті ештемеге жарамайтын болар мүмкін.

	Папасының айтқандарынан күйініш лебі еседі. Оның осы күйінішін азайту үшін мамасы бір кез спортқа көңіл аударады. Бірақ мұнымен де оның көңілін орнықтыра алмайсың. Хоккейді көрсетіп жатқан кезде мамасы алдына жан салмайтын Брюнестің орнына қайдағы бір Седертельені мақтай жөнеледі.

	— Жігітіміздің кімге тартқаны енді мәлім болды,— дейді папасы сонда. Оның, әрине, мамасын меңзеп тұрғаны анық. Мұнысы Эльвис, міне, әкесіне тартпай, шешесіне тартқандықтан осындай ақылсыз, әрі татымсыз болған дегенді астарлағандағысы. Бар жазығы оны тыныштандырғысы келген мамасына 6ұл сөздер ауыр тиеді. Бұның арғы жағы... Міне, солай. Папасының ұлына спорттық тәрбие беруінің арты ұрыс-керіске ұласып барып бітеді.

	Рас, қазір папасы бұл мәселеге бас ауыртпайтын болды. Ол бұдан былай Эльвиске ешқандай үміт артпайды. Бұл арада қолдан келер басқа амал жоқ. Спорт дегеннің өзі онша бір ұнамды да нәрсе емес қой. Ал спортшыларды көрсең. Ақ тер, көк терге түсіп, дәйім ызалы жүретін біреулер. Жан-жаққа бытырай жүгіреді, бір-бірімен істері жоқ өздерінің.

	Дей тұрғанмен де, папасының жағдайы кісі аяғандай, жан-дәрменін салып тырысып еді ғой. Осыншалықты тырысудан ештеңе шығара алмаудың қаншалықты қынжыларлық іс екенін Эльвис білмейді дейсің бе?!

	Бірде Эльвистің құмыраға апельсин дәнін отырғызғаны бар. Суарып, ыждаһатпен бірнеше ай бойы әлгінің көктеуін күтіп жүрді. Бірақ көк өскін шықпай қойды.

	— Дәнің жарамсыз болған! — деді де, мамасы бұнысын жуынды құятын шелекке тастап жіберді.

	─ Түкке жарамайтын адамдардың ісі осылай болады. Солай екендігі асылы рас та шығар-ау...

	Эльвис папасы мен мамасына тағы бір қарап қойды. Сірә, бұлар еш уақытта оянбайтын болар! Көшенің дыбыс-шуын да естімей ме немене өздері? Далада шапқылап балалар ойнап жүр. Үй жанынан көңілді әлденелерді айтысып адамдар өтіп жатыр. Машиналардың есіктері сарт-сұрт ашылып-жабылады, балалар үй қабырғасына доп соғып ойнайды. Жоқ, сірә, кеше әбден титықтаған болар әке-шешесі...

	Өзге жұрттың барлығы ұйқыларынан әлдеқашан оянған. Эльвистің әке-шешесі ғана қалың ұйқының құшағында. Аласа әбдіренің үстіндегі қоңыраулы сағат тық-тық соғып жүріп тұр. Сәл ғана құлақ түріп көрсең, папасының да қол сағатының тықылдағаны естіледі. Мамасының да сағаты тынбай тықылдайды. Бұның бәрі тық-тық етіп, еріп бара жатқан уақыт...

	Ақырында, міне, мамасы есіней бастады. Эльвис бүрісе түсіп, тың тыңдайды. Қайтадан тыныштық орнады. Қайта ұйықтап қалғаны ма екен? Жоқ, тағы да есінейді, артынша күрсінеді. Жақсы болды! Демек, мамасы оянған. Ол төсегінде жай ғана керіліп-созылып жатқан болды. Эльвис тыпыр етпестен мамасына қарап отырды. Тіл де қатпады. Бүгінгі күннің барлығы үшін сәтті басталғаны дұрыс қой. Мамасы басын көтеріп, төсегінің үстінде отырған қалпы Эльвиске қарайды да:

	─ Сен неге ұйықтамайсың? — деп сұрайды. Жауап орнына ол басын шайқайды. Мамасы керіліп тағы да есінейді.

	— Неменеге көзіңді алмай қарайсың? Біздің ұйықтағанымызға ырза емеспісің, ә? — дейді ол. Ұйқысынан әлі сергімегендігі болар, әйтпесе онша ашулы емес сияқты. Осылай деп түйді де, Эльвис еденге секіріп түсті.





2


	Жексенбілік күн басталды. Барлығы таңертеңгілік асқа отырды. Эльвис столдың басынан көтеріле берген кезде мамасы:

	─ Қазір бәріміз дачаға барамыз, байқа, құрдымға құрып кетіп жүрме! — деп ескертті.

	─ Онан да менің үйде қалғаным жөн болар,— дейді Эльвис абайлай сөйлеп.

	Папасы газеттен көзін алып:

	─ Бұл тағы не деген бейбастақтық? Бізбен бірге жүресің. Түсінікті ме саған? — деді.

	— Мен әншейін...— деп тағы сөз бастап келе жатқан Эльвисті: «Әкеңнің не айтқанын естідің бе?»— деп мамасы доғарып тастады.

	Таңертеңгілік астан соң барлығы сонымен дачаға жүретін болды. Бұл — қаладан бірнеше шақырым жердегі олардың жазғы үйлері. Ол жақ, қала сырты жақсы, Эльвис әрине қуана-қуана барады. Бірақ олар биыл дачаға баруды сирексітіп кетті, мамасының-ақ барғысы жоқ. Онда үйдегідей жағдай жоқ дейді ол. Мұның үстіне жақсы қарым-қатынасты көршілері биыл жазда Италияға баруға дайындалып, өздерін өте бір маңызды кейіпте ұстап жүр. Және де ылғи мақтанып. әлгі сол болашақ сапарлары туралы айта беретіндіктерін қайтерсің. Сондықтан да мамасының олармен кездескісі де, сөйлескісі де келмейді. Ал әкесінің шираңқырап, қосымша табыс тапқаны теріс болмас еді. Сонда мамасы екеуінің көршілер сияқты әлдебір жақтарға барып келуге мүмкіндігі болады.

	Эльвиске биыл дачада істейтін пәлендей маңызды іс болмай қалды. Ол өзінің барлық шаруасын қалаға көшірді. Жалпы оған қай жерде болғанда да бәрібір, өз ісімен айналысуға ешкім бөгет жасамаса болғаны. Бөгде жұрттың кедергі жасауға тырысып бағатынына қарамастан ол өзінің жұмыс күнін жоспарлап алатындардың қатарына жатады. Машинада отырып Эльвис дачада не істейтінін ойластыра бастады. Күнді бекерден-бекерге өлтірмесе жақсы болғаны!

	Қалаға гүл әр уақытта керек нәрсе. Мүмкін оған шамалы тұқым жинап алған дұрыс болар. Содан соң тұқымдарды паркке апарып отырғызса? Әйтпесе онда шөптен өзге ештеме де жоқ, оның өзін де жұлып, отап, дымын қалдырмайды.

	Несі бар, пайдалы ой. Ауа райы тамылжып тұр. Бүгінгі күн сірә, жаймашуақ болар. Дачаға барғасын барлығы бақтың ішіне барып, кофе ішуге отырды. Мамасының құрыс-тырысы жазылып, көңілденіп қалған тәрізді, папасы бірақ бұрынғысынша қатулы. Дачада шөп бей-берекет өсіп кеткен, шалғылауға тура келеді, бұдан соң көгалды алаңқайдың үстін тегістеп қояды. Келесі күні, бұл машақаттан кейін бүкіл денең сіресіп ауырып қалады. Папасы бірақ мамасына дачадағы көгалды ретке келтіремін деп сөзін берген, ықыласың бар ма, жоқ па, бәрібір шаруадан енді қашып құтыла алмайсың. Әйтпесе қолайсыз болар; көршілер өздерінің көгал-алаңқайларын әлдеқашан күзеп-түзеп қойған.

	Кофеден соң Эльвис жүгіріп шалғынның арасына кетті. Гүлді шалғынға кішкене тоғайша арқылы өтесің. Бұл тоғайша өзі үлкен де емес, әрі ете ыңғайлы орналасқан, аралықта қалады. Бір қапталда Эльвис, екінші қапталда әке-шешесі қалады да, сөйтіп олар бір-біріне бөгет жасамайды.

	Бүгін бірақ тұқым жинау шаруасы тіптен келіспей-ақ қойды. Табан астынан кездесіп қалған қоңыз-шіркейлерге қол ұшын беріп құтқаруы керек болып қалды. Олардың жолы болды, бұл келмегенде көбі бостан-бос қырылып, құрып кетер ме еді. Гүлдердің басына ебедейсіз өрмелеп шығады да, өрмекшінің өрмек-торына шырмалады да қалады. Бал іздесе, балды да жөндеп іздей алмайды өздері. Гүл атаулысын да оншалықты ажырата бермейтін сияқты бұл жәндіктер. Және қалай қарай жорғалап түсіп-шығуды да білмейді, мүмкін бұлар ақыл-ес дегеннен мүлдем мақұрым болар. Қалай болғанмен де бұл жәндіктер өздеріне көмек бергенді жек көрмейді екен.

	Мінекей, мәселен, екі құмырсқа жаңадан салған илеулеріне қарай тырмысып барады. Эльвис болмаса бұлардың күні не болар еді?! Өздерінің сүйреткен жүктері ауыр-ақ, енді-енді титықтаудың шақ алдында келеді. Әрі-беріден соң, байғұс құмырсқалар бұны қайда сүйреп апара жатқандарын өздері де ұмытып қалады. Айнала толған құйттай-құйттай илеулер, сірә, бәрі де құмырсқалардың көшіп жатқан жаңа қонысы болса керек. Онда әлдымен мына екеуінің қай илеуге бағыт түзегенін байқап алған дұрыс. Бірақ құмырсқа байғұстардың әрі-бері тырбыңдап, түк бітіре алатын сиықтары жоқ. Бұлар үшін Эльвистің бірдеме ойлап табуы қажет-ақ шығар. Алдымен әлгі құмырысқалардың жанталаса қыбырлап әуреге түспеуін қадағалайсың, әйтпесе күштерін сарқып, титықтап қалулары мүмкін қазір-ақ. Құмырсқаның біреуі онсыз да шабандау қимылдап қалыпты...

	Кенет қайдан шыққанын кім білсін, бір үйме құмырсқа аяқ астынан пайда бола кетті де, әлгі екеуінің сүйретпесін тартып алмаққа әрекет жасай бастады. Төбелес шықты. Енді сүйретпенің заңды иесі кім екенін біліп көр. Бұл арада шыдамдылық керек-ақ, Эльвис құдайға шүкір, оған кенде емес.

	Жұмыс үстінде ол уақыттың қалайша сырғып өтіп кеткенін байқамай қалыпты. Мамасы оны бірнеше қайтара шақырды. Жә, ештеңе етпес, күте тұрады. Қазір енді олардың күтетін кезегі келді. Бірақ, әрине, тас-талқандары шығып ашуланулары да мүмкін. Олар күтуді ұнатпайды. Эльвистің өзі де мұны жек көреді. Бірақ әбден еті өліп кеткен. Мәселен, әрбір жексенбінің ертеңгісін, немесе мамасы телефонмен мылжыңдасып тұрған кездерді алайықшы. Немесе әлгі бір іш пыстырарлық теледидар хабарларын көріп отырған сәттер. Эльвис әрдайым мұндайды шыдамдылықпен күте біледі. Енді папасы мен мамасының да шыдай тұратын кезегі келді. Сонда ғана әділеттілік болады.

	Күн шыжи түсті, қоңыз-шіркейлер көңілдене ызыңдайды. Эльвис кенет өзінің енді жалғыз еместігін сезінді. Тап қасында әлдекім тұрған секілді. Әлдекімнің өзіне көздерін қадай қарап тұрғанын сезінеді. Ештеме естілмесе де және ештеме көрінбесе де, сезеді.

	Бәрібір біледі. Ол қазір тап қасында кімнің тұрғанын біледі. Кім сонда бұл? Эльвистің осы сәттегі ішкі дүниесі қыл ішектің бұрауындай, тиіп кетсең дың ете түскелі тұрды. Қорқып тұрған бірақ ол жоқ. Жай бір сақтанғаны. Басын баяулау бұрып біресе оңға, біресе солға қарады.Ешкім жоқ...Ешкім.

	Сөйтсе де ол біреудің өзіне талмай қадалып қалған көз қарасын сезіне берді. Аздан соң бұтаның арасынан бірдеменің басы қылт ете қалды. Эльвис сонда барып әлдеқандай мақұлықтың жасыл көздерін көрді. Эльвис пен әлгі мақұлық бір-бірлерінен көздерін алмай қатты да қалды. Эльвистің жүрегі қатты дүрсілдейді. Бұл дегенің тіпті де бөтен көздер емес қой. Ол жазбай таныды. Бұл көздер оған мүлде жақсы таныс. Ол сол көздердің шала-шарпы, әлі толық ашылмай ұйқыға тығылған көздерін де, бүлдірген сияқтанып дөп-дөңгелек болғанын да көрген. Ал бұдан соң көздердің түсі сұрғылтқа айналғаны да есінде қалған. Соңынан жап-жасыл болып кетті. Басқа бір үлкен мысықтардікіндей сарғыш болмай, жасыл болғанына ол кәдімгідей мақтанып, көңілі толып жүрді. Шырадай жанып тұрған жасыл көздері бар тұмсық бітімі тұтастай аппақ. Тек қана сол көзінің үстіңгі жағында қоңыр құба дақ бар. Құлақтары да қоңыр құба. Табандары қап-қаpa. Ал мысықтың өзге денесінің барлығы қардай аппақ. Ұзын, жүндес құйрығы тіп-тік шаншылған, күн көзіне жалтылдап тұрады. Құйрығы да теп-тегіс қоңыр бурыл.

	Әдемі мысық. Ол төмпешіктің үстіне секіріп шығып алып, Эльвиске тесіле қарайды. Эльвис болар-болмас қана сыбырлайды:

	─ Сиппан... Сиппан...

	Бұл мысық бір уақыттарда мұнікі болған. Одан бері де екі жыл өтіп кетті. Көктемде болатын бұл, оған бұны әлі бауырын дұрыстап көтермеген, құйттай кезінде сыйлаған. Сол алғашқы күндерден бастап-ақ қолымен тамақ беріп, көзінен таса қылмай өсірді. Бұл тап өзі асырап-баққан бала мысық.

	Оған мысықтың баласына ат қойғызған жоқ. Атты мамасы қойды. Мұның, әрине, пәлендей айырмасы жоқ. Өзін қалай атағанда да бала мысыққа бәрібір емес пе. Сиппан Эльвистің жалғыз өзінікі ғана болатын. Мамасы бұны да, Сессан төбетшені иемденгені сияқты өзіне меншіктеп алғысы келген, бірақ мұнысынан ештеңе шықпады. Сиппан көнбей қойды. Бұл мысық та Эльвис сияқты өзіне-өзі ғана қожа болғанды ұнататын болып шықты. Сөйтсе де бұл өзін Эльвистің мысығымын деп санайтын, ғажайыптығы да осында ғой. Ал мамасына бұның мысық болғысы келмей қойды. Қанша сипалап еркелеткенмен де Сиппан оған көп жолаған жоқ.

	Эльвиске Сиппан жарық дүниенің бетіндегі ең жақыны болды. Әлі күнге шейін ол ешкімді бұлайша жақсы көрмеген-ді. Енді, міне, бұны содан бері бірінші рет, осы жазда көріп тұрғаны.Тірі екен ғой өзі. Түрі-түсі де бұрынғы қалпынша. Жалғыз өзі, адамдарсыз және олардың көмегінсіз қысты қайтіп өткізді екен? Алдыңғы қысты ше?

	Ол, міне, мына арада жүріп гүл сабақтарына қоңыздардың өрмелеп шығуына, құмырсқалардың жүктерін тасымалдауына көмек берді. Ал Сиппанға кім көмектеседі? Кешірілмейтін ең зор, ең сорақы күнә — досыңды тастап кету. Екі жыл бұрын, жаздың аяғында Сиппанды олар дачада жалғыз қалдырып кетті. Оны іздеп жатуға уақыт жоқ, -деген сонда папасы мен мамасы. Дачаға келесі бір келгендерінде ала келеміз деген олар. Бірақ Сиппанды олар мұнда бір жола қалдырып кетуді шешкен еді. Бұл мұны білді. Және не үшін екенін де айта алады.

